번호,구분,세부구분,제목,작성자,등록일자,본문,저작권자,웹페이지주소(URL),태그,뷰
226731,COVID-19,"기획 칼럼,연재,과학기술,ICT 로봇,코로나19,위드 코로나,‘위드 코로나’를 준비하다,디지털 포용,Digital for everyone,Going Digital 프로젝트",디지털 포용 정책을 점검하다,김현정 객원기자,2021-10-22,"신기술이 등장하고, 사회에 안착하기까지는 무수히 많은 스파크가 일어난다. 그 과정에서 일부 기술은 사회에 점진적으로 녹아들어 많은 사람들이 보편적으로 혜택을 누릴 수 있지만, 일부 기...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226731,"위드 코로나,디지털 포용,Digital for everyone,Going Digital 프로젝트",57
226689,COVID-19,"과학정책,과학기술,과학정책브리핑,속보뉴스,코로나19,과학핫이슈,정책","과기부·충남대병원, 코로나 예후 예측 솔루션 성능검증",연합뉴스,2021-10-20,과학기술정보통신부는 세종충남대병원과 함께 11월까지 세종생활치료센터에서 신종 코로나바이러스 감염증(코로나19) 예후 예측 솔루션의 성능을 검증하기로 했다고 19일 밝혔다. 이 솔루션...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226689,기타,40
226660,COVID-19,"과학정책,과학기술,과학정책브리핑,속보뉴스,코로나19","예방접종센터, 순차적 운영종료…위탁의료기관에서 접종",연합뉴스,2021-10-19,신종 코로나바이러스 감염증(코로나19) 백신 접종이 순조롭게 진행됨에 따라 전국 예방접종센터의 운영이 오는 31일부터 순차적으로 종료된다. 코로나19 예방접종대응추진단(추진단)은 18일 ...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226660,기타,84
226648,COVID-19,"과학기술,정보통신IT,속보뉴스,코로나19",위드코로나 파장 지켜보자…IT업계 재택근무 유지하며 '신중',연합뉴스,2021-10-18,정부가 다음달 중 단계적 일상회복(일명 '위드코로나')을 선언할 것으로 예상되지만 정보기술(IT)업계는 현행 재택근무 체계를 유지하며 신중한 태도를 보이고 있다. 게임업체 등 일부 기업...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226648,기타,101
226618,COVID-19,"과학정책,기술,과학기술,행사현장,기초응용과학,신소재신기술,한국과학창의재단,팬데믹,문화,과학문화,코로나19,과학핫이슈,과학기술과 사회 네트워크",성찰적 팬데믹에서 미래 해답 찾는다,김은영 객원기자,2021-10-20,코로나19(COVID-19)는 우리의 삶을 완전히 변화시켰다. 인간뿐만 아니라 자연생태계도 변화됐다. 인간은 바이러스에 의해 자연과 강제적으로 격리됐다. 자연은 인간과 멀어지면서 복원되기 시작...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226618,"한국과학창의재단,팬데믹,코로나19,과학기술과 사회 네트워크",298
226569,COVID-19,"과학기술,WHO,코로나19,기원,SAGO,과학전문가자문단,wuhan","WHO, ‘제2의 코로나’ 추적하는 전문가팀 구성한다",정승환 객원기자,2021-10-18,세계보건기구(WHO)가 앞으로 닥칠지 모르는 코로나19와 같은 병원체 기원을 추적하는 기구를 만들었다. 지난 13일 WHO는 세계 각국에서 신청을 받아 선별 구성한 과학전문가자문단 ‘사고(Scient...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226569,"WHO,코로나19,기원,SAGO,과학전문가자문단,wuhan",377
226520,COVID-19,"과학기술,속보뉴스,코로나19,과학핫이슈,정책",개인정보위 코로나 열화상카메라 보안취약…과기부와 실태조사,연합뉴스,2021-10-14,"윤종인 개인정보보호위원장은 신종 코로나바이러스 감염증(코로나19) 사태 속 이용이 늘고 있는 열화상카메라와 관련, 이들 기기의 보안취약점을 점검할 계획이라고 13일 밝혔다. 윤 위원장...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226520,기타,71
226500,COVID-19,"기획 칼럼,연재,과학기술,스마트 모빌리티,ICT 로봇,코로나19,과학기술정책연구원,위드 코로나,디지털 양극화,디지털 격차,홈코노미,‘위드 코로나’를 준비하다",디지털 양극화의 미래를 점검하다,김현정 객원기자,2021-10-15,"코로나19 팬데믹이 선포된 지 2년여 만에 ‘위드(with) 코로나’로의 전환을 준비하는 분위기가 사회 곳곳에서 감지되고 있다. 여전히 팬데믹은 종식되지 않았지만, 감염을 예방하면서 일상생활...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226500,"스마트 모빌리티,과학기술정책연구원,위드 코로나,디지털 양극화,디지털 격차,홈코노미",785
226484,COVID-19,"과학정책,기술,분야별뉴스,과학기술,보건의학,과학정책브리핑,속보뉴스,코로나19,과학핫이슈,정책",감염병 R&D 관리 체계화…코로나 백신 국산화 끝까지 지원,연합뉴스,2021-10-13,투자 규모가 커진 감염병 연구개발(R&amp;D)의 질적 성장을 위해 정부가 이 분야의 총괄·조정 체계를 강화한다. 신종 코로나바이러스 감염증(코로나19) 백신 국산화를 끝까지 지원하고 치료제 ...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226484,기타,117
226439,COVID-19,"과학기술,보건의학,속보뉴스,코로나19",코로나19 영향으로 글로벌 바이오산업 성장 빨라져,연합뉴스,2021-10-12,글로벌 바이오산업 성장이 코로나19 영향으로 더 빨라질 것으로 전망됐다. 10일 한국생명공학연구원 생명공학정책연구센터가 시장조사기관 '오리온 마켓 리서치'(Orion Market Research) 등 자료를...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226439,기타,149
